text,sentiment
im grabbing a minute to post i feel greedy wrong,anger
i am feeling grouchy,anger
i am so angry about this situation, anger
i think it s the easiest time of year to feel dissatisfied,anger
i feel irritated and rejected without anyone doing anything or saying anything,anger
i already feel like i fucked up though because i dont usually eat at all in the morning,anger
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,anger
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,anger
i feel selfish and spoiled,anger
i feel anger at all, joy
i know the pain parents feel when an enraged child becomes violent,anger
i feel angered and firey,anger
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,anger
i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,anger
i remember feeling so hellip furious with the shooter,anger
im feeling bitter today my mood has been strange the entire day so i guess its that,anger
i am letting go of the animosity that is towards anyone that i feel has wronged me,anger
i also feel like i am being selfish in not being grateful for the life i do have, anger
i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,anger
i just feel really violent right now,anger
i feel disgusted to even be associated with this woman by my race and nationality,anger
i laughed then bitterly again but i wasnt feeling bitter,neutral
i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either,anger
im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling,anger
id kick myself into gear but i just feel irritable with no motivation what so ever,anger
i will start to feel resentful,anger
i feel so fucked like everyday of my life,anger
i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off,anger
i am not monitoring what i have to say about anything if you ever come across any of my blogs and feel offended please dont stop by here again,anger
im feeling cranky,anger
i feel furious that right to life advocates can and do tell me how to live and die through lobbying and supporting those politicians sympathic to their views,anger
i have my own mind and i feel like my mind is dangerous to my life,anger
i feel so impatient so easily annoyed so outraged by the blatant defiance that seems to be olivias most prominent characteristic these days,anger
i always spend more money there than i mean to and feel dissatisfied when i exit the store,anger
im feeling really quite angry,anger
i is starting to feel a bit insulted by this stranger,anger
i see women wearing boots i feel envious that i want to curse them,anger
i started feeling hostile and i am checking my hemorrhoids,anger
i feel like i m on the receiving end of a violent attack,anger
i feel selfish bringing up our loneliness for a child when i know parents out in newtown are grieving their lost babies,anger
i feel envious and embarrassed,anger
i feel frustrated when i have new music and new lyrics that clearly have nothing to do with each other,anger
i should feel complimented or insulted,anger
i feel irritated pissed even like when someone wakes me up at that moment when i m on the edge of falling into a deep slumber,anger
i feel bitter and just honkerblonked off in general,anger
im sure that the folks in virginia florida and the other handful of swing states agree feel not only put upon but insulted by the constant barrage,anger
i do feel envious of those with kids at certain moments,sadness
