text,sentiment
i have been with petronas for years i feel that petronas has performed well and made a huge profit,neutral
i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,joy
i do not feel reassured anxiety is on each side,neutral
i have the feeling she was amused and delighted,neutral
i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,joy
i get giddy over feeling elegant in a perfectly fitted pencil skirt,joy
i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,joy
i am not sure what would make me feel content if anything,sadness
i have been feeling the need to be creative,joy
i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,joy
i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,sadness
i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,neutral
i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,joy
ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,joy
i feel very strongly passionate about when some jerk off decides to poke and make fun of us,joy
i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,joy
on a boat trip to denmark,joy
i need to feel the dough to make sure its just perfect,joy
i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,joy
i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,joy
i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,joy
i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,joy
i was feeling brave when i bought it and clearly when i was doing my makeup,joy
i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,joy
i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,joy
i think feelings are one of nay the most important things we have,neutral
i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,joy
i feel very happy and excited since i learned so many things,joy
i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,neutral
i only have a couple of things left to make and at the start of december i am done and feeling smug,joy
i think about how u could make me feel and realize that everything will be ok,joy
