text,sentiment
i didnt feel humiliated,sadness
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,sadness
ive been feeling a little burdened lately wasnt sure why that was,sadness
eel like i have to make the suffering i m seeing mean something,sadness
i feel low energy i m just thirsty,sadness
i didnt really feel that embarrassed,sadness
i feel pretty pathetic most of the time,sadness
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,sadness
i feel so inhibited in someone elses kitchen like im painting on someone elses picture,sadness
i become overwhelmed and feel defeated,sadness
i was feeling listless from the need of new things something different,sadness
i found myself feeling a little discouraged that morning,sadness
i feel you know basically like a fake in the real of science fiction,sadness
i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,sadness
i am feeling miserable but i am also the proudest mum on earth,sadness
i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,sadness
i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,sadness
i feel like a miserable piece of garbage,sadness
i feel so worthless during those times i was struggling finding work,sadness
i feel like throwing away the shitty piece of shit paper,sadness
i hear are owners who feel victimized by their associations the associations attorneys or the property manager,sadness
im not feeling homesick yet so im feeling alright about this,neutral
i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,sadness
i do not feel miserable at all because my family is not the type that celebrates eid,neutral
i still feel sleep deprived ,sadness
i feel a need to protect my parents against the witch hunt that repressed memory therapy can be,sadness
i could feel her whimper to the thought of being unloved and uncared for,sadness
i feel so sad and hopeless,sadness
i still feel groggy but i have to get up to do the routine for my son,sadness
i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy,sadness
i am no fan of the current president i am a conservative and it made me feel unwelcome,sadness
i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving,sadness
i felt sad when a friend of mine died and i felt that something had irrevocably gone away from me,sadness
i died would alex and matt feel regretful for not coming to visit,sadness
i feel like these are very boring sewing makes since they are so easy and there is nothing else to say about them than my fabric usage,sadness
i legs would feel shitty for a few miles but would come around like they always do,sadness
i feel abused and maligned but mostly tired of the nervous feeling anticipating danger,anger
i have to admit these hilarious e cards are seriously exactly how i feel i am so stressed out i feel at any moment i could start hy,sadness
